iter	Passed	Remaining
671	964	470
672	965	469
673	967	467
674	969	466
675	971	465
676	972	464
677	974	462
678	976	461
679	978	460
680	979	458
681	981	457
682	982	456
683	984	454
684	985	453
685	987	451
686	988	450
687	990	449
688	992	448
689	993	446
690	995	445
691	997	444
692	1000	443
693	1002	441
694	1003	440
695	1004	438
696	1005	437
697	1007	435
698	1008	434
699	1010	432
700	1012	431
701	1014	430
702	1016	429
703	1017	427
704	1019	426
705	1020	425
706	1022	423
707	1023	422
708	1025	420
709	1026	419
710	1027	417
711	1029	416
712	1030	414
713	1032	413
714	1033	411
715	1034	410
716	1036	409
717	1037	407
718	1039	406
719	1040	404
720	1041	403
721	1042	401
722	1044	399
723	1045	398
724	1046	397
725	1048	395
726	1049	394
727	1050	392
728	1051	390
729	1052	389
730	1053	387
731	1055	386
732	1056	384
733	1057	383
734	1058	381
735	1059	380
736	1061	378
737	1062	377
738	1063	375
739	1064	374
740	1066	372
741	1067	371
742	1069	369
743	1070	368
744	1071	366
745	1072	365
746	1074	363
747	1075	362
748	1076	360
749	1077	359
750	1078	357
751	1079	356
752	1080	354
753	1081	353
754	1082	351
755	1083	349
756	1085	348
757	1086	346
758	1087	345
759	1088	343
760	1089	342
761	1090	340
762	1091	339
763	1092	337
764	1093	335
765	1094	334
766	1095	332
767	1096	331
768	1097	329
769	1099	328
770	1100	326
771	1101	325
772	1102	323
773	1103	322
774	1104	320
775	1105	319
776	1106	317
777	1107	316
778	1108	314
779	1109	312
780	1110	311
781	1111	309
782	1112	308
783	1113	306
784	1114	305
785	1114	303
786	1115	301
787	1116	300
788	1118	299
789	1119	297
790	1120	296
791	1121	294
792	1122	293
793	1124	291
794	1125	290
795	1126	288
796	1127	287
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1131	279
802	1132	277
803	1134	276
804	1135	275
805	1137	273
806	1138	272
807	1139	270
808	1141	269
809	1142	267
810	1142	266
811	1143	264
812	1144	263
813	1145	261
814	1146	260
815	1147	258
816	1147	257
817	1148	255
818	1149	254
819	1151	252
820	1152	251
821	1153	249
822	1154	248
823	1155	246
824	1156	245
825	1157	243
826	1158	242
827	1159	240
828	1160	239
829	1161	237
830	1161	236
831	1162	234
832	1163	233
833	1164	231
834	1166	230
835	1167	228
836	1168	227
837	1169	226
838	1170	224
839	1171	223
840	1173	221
841	1174	220
842	1175	219
843	1176	217
844	1177	216
845	1178	214
846	1179	213
847	1180	211
848	1181	210
849	1183	208
850	1184	207
851	1185	205
852	1186	204
853	1187	203
854	1188	201
855	1189	200
856	1190	198
857	1191	197
858	1191	195
859	1192	194
860	1193	192
861	1194	191
862	1196	189
863	1197	188
864	1198	187
865	1199	185
866	1201	184
867	1202	182
868	1203	181
869	1203	179
870	1204	178
871	1205	176
872	1206	175
873	1207	174
874	1208	172
875	1209	171
876	1209	169
877	1211	168
878	1212	166
879	1213	165
880	1214	164
881	1215	162
882	1216	161
883	1217	159
884	1217	158
885	1218	156
886	1219	155
887	1220	153
888	1221	152
889	1222	151
890	1223	149
891	1224	148
892	1225	146
893	1226	145
894	1227	143
895	1228	142
896	1229	141
897	1230	139
898	1231	138
899	1232	136
900	1233	135
901	1233	134
902	1234	132
903	1235	131
904	1236	129
905	1237	128
906	1238	127
907	1239	125
908	1240	124
909	1241	122
910	1242	121
911	1243	120
912	1245	118
913	1246	117
914	1247	115
915	1249	114
916	1251	113
917	1252	111
918	1253	110
919	1254	109
920	1255	107
921	1257	106
922	1258	104
923	1259	103
924	1261	102
925	1262	100
926	1264	99
927	1265	98
928	1266	96
929	1267	95
930	1268	93
931	1269	92
932	1270	91
933	1270	89
934	1272	88
935	1273	87
936	1274	85
937	1275	84
938	1277	82
939	1278	81
940	1278	80
941	1279	78
942	1280	77
943	1281	76
944	1282	74
945	1283	73
946	1284	71
947	1284	70
948	1285	69
949	1286	67
950	1288	66
951	1289	65
952	1290	63
953	1291	62
954	1292	60
955	1293	59
956	1293	58
957	1294	56
958	1295	55
959	1296	54
960	1297	52
961	1298	51
962	1299	49
963	1300	48
964	1301	47
965	1302	45
966	1303	44
967	1304	43
968	1306	41
969	1307	40
970	1308	39
971	1309	37
972	1309	36
973	1310	34
974	1311	33
975	1312	32
976	1313	30
977	1314	29
978	1315	28
979	1316	26
980	1317	25
981	1318	24
982	1319	22
983	1320	21
984	1321	20
985	1322	18
986	1323	17
987	1324	16
988	1325	14
989	1326	13
990	1326	12
991	1327	10
992	1328	9
993	1329	8
994	1330	6
995	1331	5
996	1332	4
997	1332	2
998	1334	1
999	1335	0
